Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,patient,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment
SRR25451156,RNA-Seq,151,5744073787,PRJNA999715,SAMN36748145,2751734856,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX21184196,uncalculated,uncalculated,missing,NextSeq 500,GSM7667400,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,434,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:20:00Z,1,GSM7667400,fibroblasts,SRP452015,Valproic acid
SRR25451157,RNA-Seq,151,6522665817,PRJNA999715,SAMN36748146,3162543420,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX21184195,uncalculated,uncalculated,missing,NextSeq 500,GSM7667399,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,434,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:18:00Z,1,GSM7667399,fibroblasts,SRP452015,Givinostat
SRR25451158,RNA-Seq,151,5493033234,PRJNA999715,SAMN36748147,2656952471,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX21184194,uncalculated,uncalculated,missing,NextSeq 500,GSM7667398,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,434,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:18:00Z,1,GSM7667398,fibroblasts,SRP452015,Untreated
SRR25451159,RNA-Seq,151,7677381218,PRJNA999715,SAMN36748148,3703304815,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21184193,uncalculated,uncalculated,missing,NextSeq 500,GSM7667397,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,3248,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:23:00Z,1,GSM7667397,fibroblasts,SRP452015,Valproic acid
SRR25451160,RNA-Seq,151,4883680274,PRJNA999715,SAMN36748149,2356251009,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX21184192,uncalculated,uncalculated,missing,NextSeq 500,GSM7667396,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,3248,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:21:00Z,1,GSM7667396,fibroblasts,SRP452015,Givinostat
SRR25451161,RNA-Seq,151,3985089021,PRJNA999715,SAMN36748150,1926007441,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX21184191,uncalculated,uncalculated,missing,NextSeq 500,GSM7667395,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,3248,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:20:00Z,1,GSM7667395,fibroblasts,SRP452015,Untreated
SRR25451162,RNA-Seq,151,6385239663,PRJNA999715,SAMN36748151,3071247173,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX21184190,uncalculated,uncalculated,missing,NextSeq 500,GSM7667394,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,2175,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:24:00Z,1,GSM7667394,fibroblasts,SRP452015,Valproic acid
SRR25451163,RNA-Seq,151,4112455974,PRJNA999715,SAMN36748152,1989850938,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX21184189,uncalculated,uncalculated,missing,NextSeq 500,GSM7667393,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,2175,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:20:00Z,1,GSM7667393,fibroblasts,SRP452015,Givinostat
SRR25451164,RNA-Seq,151,4864878313,PRJNA999715,SAMN36748153,2343540252,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21184188,uncalculated,uncalculated,missing,NextSeq 500,GSM7667392,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,2175,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:17:00Z,1,GSM7667392,fibroblasts,SRP452015,Untreated
SRR25451165,RNA-Seq,151,5003500752,PRJNA999715,SAMN36748154,2419203457,fibroblasts,"LABORATORY OF MOLECULAR AND CELL BIOLOGY, ISTITUTO DERMOPATICO DELL'IMMACOLATA (IDI)-IRCCS",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX21184187,uncalculated,uncalculated,missing,NextSeq 500,GSM7667391,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,212,ILLUMINA,2024-09-02T00:00:00Z,2023-07-28T17:20:00Z,1,GSM7667391,fibroblasts,SRP452015,Valproic acid
